crate	version	scope	declared_license	review_route	archive_sha256	archive_url	notice_files
crc32fast	1.5.0	normal	MIT OR Apache-2.0	MIT	9481c1c90cbf2ac953f07c8d4a58aa3945c425b7185c9154d67a65e4230da511	https://crates.io/api/v1/crates/crc32fast/1.5.0/download	LICENSE-APACHE; LICENSE-MIT
crossbeam-queue	0.3.13	transitive	MIT OR Apache-2.0	MIT	803d13fb3b09d88be9f4dbc29062c66b19bf7170867ceb746d2a8689bf6c7a26	https://crates.io/api/v1/crates/crossbeam-queue/0.3.13/download	LICENSE-APACHE; LICENSE-MIT
crossbeam-utils	0.8.22	transitive	MIT OR Apache-2.0	MIT	61803da095bee82a81bb1a452ecc25d3b2f1416d1897eb86430c6159ef717c17	https://crates.io/api/v1/crates/crossbeam-utils/0.8.22/download	LICENSE-APACHE; LICENSE-MIT
crypto-common	0.1.7	transitive	MIT OR Apache-2.0	MIT	78c8292055d1c1df0cce5d180393dc8cce0abec0a7102adb6c7b1eef6016d60a	https://crates.io/api/v1/crates/crypto-common/0.1.7/download	LICENSE-APACHE; LICENSE-MIT
der	0.7.10	transitive	Apache-2.0 OR MIT	MIT	e7c1832837b905bbfb5101e07cc24c8deddf52f93225eee6ead5f4d63d53ddcb	https://crates.io/api/v1/crates/der/0.7.10/download	LICENSE-APACHE; LICENSE-MIT
derive_arbitrary	1.4.2	transitive	MIT OR Apache-2.0	MIT	1e567bd82dcff979e4b03460c307b3cdc9e96fde3d73bed1496d2bc75d9dd62a	https://crates.io/api/v1/crates/derive_arbitrary/1.4.2/download	LICENSE-APACHE; LICENSE-MIT
digest	0.10.7	transitive	MIT OR Apache-2.0	MIT	9ed9a281f7bc9b7576e61468ba615a66a5c8cfdff42420a70aa82701a3b1e292	https://crates.io/api/v1/crates/digest/0.10.7/download	LICENSE-APACHE; LICENSE-MIT
displaydoc	0.2.6	transitive	MIT OR Apache-2.0	MIT	1ac70aa55017e108007fbaf5aa0f54b021c98f92ff8af59d42eda9da96e3dd4f	https://crates.io/api/v1/crates/displaydoc/0.2.6/download	LICENSE-APACHE; LICENSE-MIT
dotenvy	0.15.7	transitive	MIT	MIT	1aaf95b3e5c8f23aa320147307562d361db0ae0d51242340f558153b4eb2439b	https://crates.io/api/v1/crates/dotenvy/0.15.7/download	LICENSE
either	1.16.0	transitive	MIT OR Apache-2.0	MIT	91622ff5e7162018101f2fea40d6ebf4a78bbe5a49736a2020649edf9693679e	https://crates.io/api/v1/crates/either/1.16.0/download	LICENSE-APACHE; LICENSE-MIT
